,title,name_structure,territory,url,theme,form,target,duration,keywords,difficulty,date,date_heure,live,synopsis,image,commentaire,question,good_answer,prop_1,prop_2,answer
28/08/2020 10:11:36,Sur les traces d'inventifs aindinois,Radio RCF Pays de l'Ain,Ain,https://rcf.fr/actualite/actualite-locale/l-heure-aindinoise,th1,f5,p3,t3,"abeille, étang, moulin, centrale hydroélectrique, ",Curieux,,,False,"Bienvenue dans cette visite guidée par des collégiens, avec un apiculteur, un propriétaire d’étang, le Président de la Fédération des moulins de l’Ain et le responsable d’une centrale hydroélectrique. Comment s’allier à la nature pour fabriquer miel et farine, élever des poissons ou produire l’énergie ? Ecoutez, et vous saurez.",https://drive.google.com/file/d/1qgQs2PXlrmWOeK3ldtNuH6SCslU_kqVs/view?usp=sharing,,Où trouve-t-on la plus grande surface d’étangs à vocation piscicole ?,Dans la Dombes,Dans le Forez,En Lorraine,"La Dombes compte 1 100 étangs, sur 11 500 Ha. Ces étangs ont été créés au 13e siècle, quand les paysans ont eu besoin de drainer les sols argileux, pour produire des céréales. Ils ont aussi servi à la pisciculture, en essor au Moyen-Âge."
28/08/2020 16:21:05,Festival Particule.com,CC-IN2P3,Rhône,http://festivalparticule.com,"th3,th7","f1,f6,f10",p3,t3,"physique, informatique, matière noire, web, particules, astronomie, twitch",Curieux,08/10/0020,19:00:00,,"Qu’est-ce que la matière noire ? Connaissez-vous le plus grand accélérateur de particules du monde ? En direct du Centre de Calcul de l’IN2P3, berceau du Web français, les chercheurs vous guident dans les mondes de la physique et de l’informatique. Préparez vos questions !",https://drive.google.com/file/d/1o9c7p667BjyL7C9rRAT-FyGlxOTe9Vmc/view?usp=sharing,,Où fabrique-t-on les miroirs les plus parfaits ?,A Villeurbanne (France),A Austin (USA),A Genève (Suisse),"Le laboratoire des matériaux avancés (LMA) de Villeurbanne fabrique les miroirs les plus parfaits au monde. Ils servent à réaliser des instruments de très grande précision, et notamment celui ayant permis la première observation des ondes gravitationnelles."
28/08/2020 16:26:36,J'veux du soleil dans mon réseau,Hespul,Rhône,"inscriptions sur https://forms.gle/aGc1mRD88gqq72XX6, nous fournirons alors le lien zoom pour se connecter",th1,"f6,f12",p3,t4,"énergie, énergie renouvelable, photovoltaïque, solaire, électricité, ressources pédagogiques",Curieux,10/10/2020,10:00:00,,"Pas d’électricité les jours sans soleil. C’est trop cher. Les panneaux ne se recyclent pas. S’il vous reste quelques idées reçues sur l’énergie photovoltaïque, participez à l’atelier pratique sur le sujet avec l’Hespul. Et, surtout, amusez-vous bien !",https://drive.google.com/file/d/1QYwbI9JNCWo1WDxCh3Rbi39OzznyRHL3/view?usp=sharing,,Les panneaux photovoltaïques sont difficilement recyclables.,Faux,Vrai,,"Faux. 95 % d'un panneau photovoltaïque est recyclable. La filière est déjà en place. En plus, les panneaux sont faits pour durer : après 25 ans d’utilisation, ils bénéficient encore de 80 % de leur capacité pour produire de l’électricité."
28/08/2020 18:06:32,Dessine-moi ma planète de demain,Collège Notre Dame,Rhône,https://view.genial.ly/5f061d73df9d550d0912c711/interactive-content-dessine-moi-ma-planete,th3,f8,p2,t3,"terre, environnement, développement durable, vie durable, evolution",Curieux,,,False,Prêt à vous lancer dans un escape game ? Cette animation interactive donne des clés de compréhension sur l’évolution de la vie sur Terre et le développement durable. Imaginons ensemble un lieu dans l'Univers où il fera bon de vivre. Vous remporterez votre badge de compétences en astronomie.,https://drive.google.com/file/d/1C4XB5R_STc2dXPkkNJoxjYvLYcXgu6Cn/view?usp=sharing,,L’Organisation de Coopération et Développement Économique (OCDE) prévoit pour 2050 :, Un recul de 10 % de la biodiversité terrestre, Une baisse de la superficie des forêts adultes d’environ 25 %, Une augmentation de plus de 80 % de la demande d’eau douce,"Les Perspectives de l’environnement de l’OCDE estime que la biodiversité reculera de 10 % à l’horizon 2050. Il est urgent d’agir pour répondre aux besoins de 2 milliards de personnes supplémentaires d’ici à 2050. L’humanité peut aussi se tourner vers l’espace. Saviez-vous que depuis 25 ans, 4 000 exoplanètes ont été découvertes et que certaines disposent d'une atmosphère propice à la vie ?"
30/08/2020 18:32:12,Village des Sciences des Monts du Lyonnais,CréAct'IV Sciences,Rhône,diffusion via Youtube (URL sera mise à jour sur http://www.creactiv-sciences.fr/),"th1,th2,th3,th4,th5","f2,f8,f9",p2,t2,"astronomie, physique, biologie, world space week, maquettes",Curieux,10/10/2020,10:00:00,,"Pourquoi la terre est-elle forcément ronde ? Réponse lors de la visite virtuelle du Village des sciences des Monts du Lyonnais. Astronomie, physique, chimie, robotique, etc., une vingtaine d'ateliers sont à découvrir en live. Posez aussi vos questions pour contribuer à l'édition 2021 !",https://drive.google.com/file/d/1koYW-TcyxFy5C7mnv8pUC02GVmayR2fc/view?usp=sharing,,Quel est le nom du premier satellite français dans l'espace ?,Astérix 1A,Obélix 2C,Satellix 1X,"Asterix 1A, lancé le 26 novembre 1965 par le Centre national d'études spatiales (CNES) au Centre interarmées d'essais d'engins spéciaux d'Hammaguir, en Algérie. La France devient alors la 3e nation à effectuer une mise en orbite de manière autonome."
31/08/2020 10:08:04,Avant-goût d'Explora,La Rotonde-Mines Sanit-Etienne,Loire,https://www.youtube.com/channel/UCEIHDYwGgg-1HqvOQtLxeFQ,"th3,th4,th5",f12,p2,t3,,Amateur,03/10/2020,14:00:00,,"Pour les fans de sciences qui aiment s’amuser, voici un atelier ludique riche en surprises pour lever le voile sur Explora, un centre de culture scientifique nouvelle génération, qui ouvrira ses portes en fin d’année 2020. Découvrez, explorez, innovez par la pratique. C’est la promesse d’Explora !",https://drive.google.com/file/d/1EUZiTZkK2-RtwBK3KB87AWnqHOHRk-S1/view?usp=sharing,,"Le centre de culture scientifique Explora, ce sera quoi ?","Les deux, à la fois parc d'activités ludiques et laboratoire d'innovation et de découverte",Un parc d’activités à vocation scientifique et ludique,Un laboratoire conçu dans un esprit à la fois « Maker » et « Learning Lab »,"Le projet réunit ExploraParc, un parc aménagé avec des installations scientifiques, et ExploraLab, un espace ressources qui fédère les initiatives d'éducation aux sciences et de diffusion de la culture scientifique. L'espace ressources permet d'approfondir les connaissances expérimentées dans l'enceinte du parc ; le parc met en application les sujets abordés dans l'espace ressources."
31/08/2020 10:23:09,Sciences à la maison en musique,La Rotonde-Mines Saint-Etienne,Loire,https://www.youtube.com/channel/UCEIHDYwGgg-1HqvOQtLxeFQ,"th5,th6","f8,f12",p2,t3,,Amateur,07/10/2020,17:30:00,,"La Rotonde Mines de Saint-Etienne vous propose de suivre, en direct sur sa chaîne YouTube, des expériences sur le thème de la musique. Un temps convivial et ludique fondé sur des explications surprenantes, où piocher des idées à refaire chez soi !",https://drive.google.com/file/d/1XLJhiOLj0isuQCFovXvyAA2uAdNbU5E4/view?usp=sharing,,De quand date la notation musicale ?,De l'Antiquité, Du MoyenÂge, Du 18e siècle,"De l'Antiquité. Les premiers systèmes d'écriture musicale ont été retrouvés dès l'antiquité, et notamment l'hymne à la déesse Nikkal, daté de 1400 av. J.-C., qui est à ce jour le plus ancien exemple de notation musicale."
31/08/2020 10:27:13,L'Ecole des Mines ouvre ses laboratoires,La Rotonde-Mines Saint-Etienne,Loire,https://www.youtube.com/channel/UCEIHDYwGgg-1HqvOQtLxeFQ,"th1,th2,th3,th4,th5,th6","f5,f6",p4,t3,,Curieux,,,False,"A l’occasion de la Fête de la Science 2020, l’École des Mines ouvre ses portes. Sur sa chaîne YouTube, participez à une visite virtuelle des laboratoires et rencontrez des scientifiques des cinq centres de Saint-Étienne (42) et Gardanne (13).",https://drive.google.com/file/d/1MwsheUHMrfqKi8lpvmJJbDJYUdYtsGFb/view?usp=sharing,,Connaissez-vous la Rotonde ?,"C’est le centre de culture scientifique, technique et industrielle de l’Ecole des Mines de SaintEtienne",C’est le nom du campus stéphanois de l’Ecole des Mines de SaintEtienne,C’est l’association des anciens élèves ingénieurs de l’Ecole des Mines de SaintEtienne,"La Rotonde est depuis 20 ans le centre de culture scientifique, technique et industrielle intégré à l’Ecole des Mines de Saint-Etienne. Elle implique des centaines d’élèves ingénieurs et doctorants, contribue à la valorisation des travaux de recherche, collabore avec les industriels, favorise le dialogue entre les chercheurs et la société civile, et… participe à la Fête de la Science."
31/08/2020 10:31:27,Recherche on Line ! ,La Rotonde-Mines Saint-Etienne,Loire,https://www.youtube.com/channel/UCEIHDYwGgg-1HqvOQtLxeFQ,"th3,th4,th5","f1,f5",p4,t3,,Curieux,08/10/2020,17:30:00,,"A la frontière entre conférence-débat et reportages, la Rotonde, centre de culture scientifique de l’Ecole des Mines de Saint-Etienne, vous invite pour une soirée spéciale, entre interviews de chercheures stéphanois et ateliers scientifiques. Retrouvez-les sur YouTube pour une émission en direct et posez toutes vos questions.",https://drive.google.com/file/d/1OZcYuezk-F57hc0OIm3PoxLxTIAtkkad/view?usp=sharing,,La chaîne YouTube de la Rotonde Sciences," A créé, durant le confinement, des ateliers ludiques en ligne pour faire le plein d’expériences à reproduire chez soi"," C’est pas sorcier, comme dirait Jamy", Sera lancée à l’occasion de la Fête de la science,"La Rotonde permet de découvrir les sciences via les réseaux sociaux : podcast, story Instagram, compte Twitter, Facebook et… chaîne Youtube. Active depuis 2014, elle vous donne rendez-vous chaque 1er mercredi du mois avec « Les sciences à la maison », créé pendant le confinement, et est évidemment accessible durant la Fête de la Science."
31/08/2020 11:32:33,Géo-archéologie des catastrophes naturelles à Lyon,Service archéologique de la Ville de Lyon,Rhône,www.archeologie.lyon.fr,"th1,th6",f1,p4,t3,,Amateur,,,False,"Glaciation, sécheresses, crues… Comment lire dans le sol les marques du climat ? C'est ce que propose de vous faire découvrir la conférence du géo-archéologue Stéphane Gaillot, consacrée aux traces des événements climatiques à Lyon et sa région. ",https://drive.google.com/file/d/1udhsth4X-pTmTJFKiyxA-ftv8MK7TWmH/view?usp=sharing,,Quand eu lieu la crue la plus importante jamais enregistrée à Lyon ?,1840,1820,1963,"En novembre 1840, la Saône a connu une crue majeure qui est, avec celle de mai 1856, la plus importante de cette rivière dont l'homme ait conservé la mémoire."
31/08/2020 15:25:29,L'hôpital : un concentré de sciences,Centre hospitalier metropole Savoie,Savoie,http://www.ch-metropole-savoie.fr/chc/c_5038/accueil,th4,f2,p4,t1,"laboratoire, neurologie, centre de formation, simulation en santé, chirurgie ambulatoire, dépistage, prise en charge, opérations, analyses, professionnels de santé, vidéos, découvertes des pratiques, parcours patient, hospitalisation, microscope, urgences, hopsim, réanimation, obstétrique",Curieux,,,False,"Plongez dans les coulisses de l’hôpital en visionnant les vidéos virtuelles de 4 services du centre hospitalier de Chambéry. Vous saurez tout sur les explorations fonctionnelles en neurologie, le parcours d'un patient avant une opération ou les nouvelles méthodes de formation des hospitaliers par simulation haute-fidélité.",https://drive.google.com/file/d/1-r2oJBtauZYB389fytrz8TLworcFIfGy/view?usp=sharing,,"Une exploration fonctionnelle est un examen qui consiste à réaliser des mesures de l’activité d’un organe, pendant qu’il fonctionne",Vrai,Faux,,"Vrai. En neurologie, l’exploration fonctionnelle peut être réalisée par électromyographie. Un électromyogramme (EMG) permet d’analyser l’activité électrique des nerfs moteurs, des nerf sensitifs et des muscles, au repos, après stimulation électrique ou lors d’un effort de contraction volontaire du patient. Cet examen aide au diagnostic de différentes pathologies nerveuses et musculaires."
31/08/2020 16:14:15,Jouons connectés à LudoViro,Les p'tits génies IHOPe,Rhône,en cours,th4,f10,p1,t3,"ludoviro , jeu, virus,",Amateur,07/10/2020,15:00:00,,"Ludoviro est un serious game collaboratif qui permet d'explorer l'infectiologie. Avec deux animatrices, les enfants de l'Institut d'Hématologie et Oncologie Pédiatrique joueront une partie, pour découvrir en s'amusant les moyens, dont nous disposons pour combattre ensemble les maladies infectieuses. ",https://drive.google.com/file/d/1Zg1P1vVuB9xwJrwPsbFK3y84uCxovw8c/view?usp=sharing,,Combien y a-t-il de virus sur terre ?, Des milliards, Des millions, Des milliers,"Le nombre total de virus présents sur terre est estimé à 1x1031, soit un 10 suivi de 31 zéros. Mais tous ne sont pas dangereux pour l'homme ! En 1998, la liste des des virus pathogènes comptait 129 familles de virus."
01/09/2020 09:26:21,Les énergies renouvelables pour une mobilité durable électrique et hydrogène,IESF Lyon RA,Rhône,https://www.iesf-lyonra.fr/,th2,f2,p5,t3,"mobilité, durable,hydrogène, énergie",Curieux,,,False,"L'hydrogène vert, est-ce pour demain ? Dans la course à l'énergie propre, cette question se fait de plus en plus pressante sans que l'on parvienne toujours à en comprendre les enjeux scientifiques et industriels. Faites le point avec les universitaires et les industriels de la filière hydrogène !",https://drive.google.com/file/d/1IHlLi5hGorvcRLeFS9VSngBD7kC7rOpP/view?usp=sharing,,Que rejette un moteur à hydrogène ?,De l'eau (H2O),Du méthane (CH4),Du dioxyde de carbone (CO2),Le moteur à hydrogène repose sur la combustion du dihydrogène (H2) et du dioxygène (O2) qui produit de l'énergie et de l'eau (H2O).
01/09/2020 16:08:04,À la rencontre de nos chercheur.e.s,Université Jean Monnet,Loire,univ-st-etienne.fr,"th1,th2,th3,th4,th5,th6,th7","f1,f2,f6",p3,t3,,Amateur,01/10/2020,00:00:00,,"Même à distance, les chercheurs de l’Université Jean Monnet sont à votre écoute ! Depuis leurs laboratoires, ils vous proposent une rencontre en visioconférence durant la semaine de la Fête de la Science pour échanger et poser toutes vos questions. Suivez la programmation, les chercheurs ont prévu plusieurs rendez-vous !",https://drive.google.com/file/d/1ieCb0tFajf5Ew1NJbLnDXUFcWvnvC3YN/view?usp=sharing,,L’Université Jean Monnet à Saint-Etienne, Vient d’avoir 50 ans, Est centenaire, A été créée en 1989,"L’Université Jean Monnet a été créée le 27 mars 1969. Cinq ans plus tard, 5 000 étudiants de Saint-Étienne et des départements limitrophes y étaient déjà accueillis. Elle prend le nom de Jean Monnet en 1989. Depuis 2007, elle est membre de la Communauté d'universités et d'établissements “Université de Lyon”, qui regroupe 20 établissements des universités de Lyon et Saint-Étienne."
01/09/2020 16:32:35,"Table ronde A.R.T.S ""des traces pour réinventer notre rapport au monde""",Université Jean Monnet,Loire,univ-st-etienne.fr,"th1,th4,th6",f1,p5,t3,,Curieux,06/10/2020,14:30:00,,"Partagez les réflexions de chercheurs en design, histoire de l'art, géographie, sciences de l'art et histoire de l'Université Jean Monnet, la Cité du Design et l'Ecole nationale supérieure d'architecture de Saint-Etienne avant de discuter sur d'autres façons de vivre ensemble, sans séparer nature et culture.",https://drive.google.com/file/d/1teOqzBnzhCnAst90yHH6R5f9wnPCnF3G/view?usp=sharing,,Les écoles supérieures de la Loire sont au nombre de,16,25,12,"Avec 16 établissements, la Loire propose une large palette de formations supérieures de haut niveau : l’Université Jean Monnet, l’Institut Régional pour les Métiers d'Art et la Création Contemporaine, l’Ecole Supérieure d'Art et Design de Saint-Étienne, l’Institut Mines-Télécom, l’Ecole d’Architecture de Saint-Étienne, le Conservatoire National des Arts et Métiers, l’Ecole de Management de Lyon…"
02/09/2020 09:58:36,Voyage au pays des microbes,Musée des Confluences,Rhône,https://www.facebook.com/museedesconfluences,"th1,th4,th6",f1,p5,t4,"covid-19, épidémie, santé, virus, microbes",Curieux,01/10/2020,18:00:00,,"Les microbes sont partout ! Parfois bénéfiques, quelquefois pathogènes, ils ont investi le corps humain. Au-delà des maladies ou de la décomposition qu'ils provoquent, découvrez les liens favorables qu'ils tissent avec nous !",https://drive.google.com/file/d/13qEezqBx1WtIy8iakazXlhola3cJusDn/view?usp=sharing,,Qu'est-ce que le microbiote ?, un ensemble de microorganismes vivant sur l'homme, un super héros, un minirobot d'exploration du corps humain,"Principalement composé de bactéries et de microchampignons, le microbiote est le nom donné à l'ensemble des micro-organismes qui vivent sur et à l'intérieur de notre organisme, dont l'un des plus connus est le microbiote intestinal ou flore intestinale. On estime qu'entre 15 000 et 30 000 bactéries différentes vivent dans le corps humain !"
02/09/2020 10:00:42,Les origines environnementales des épidémies,Musée des Confluences,Rhône,https://www.facebook.com/museedesconfluences,"th1,th4,th6",f1,p5,t4,"covid-19, épidémie, santé, virus, microbes ",Curieux,02/10/2020,18:00:00,,"Santé humaine et animale sont interdépendantes et liées à celle des écosystèmes. Prenez de la hauteur sur la crise de la Covid-19, en suivant les interventions de scientifiques de toutes disciplines sur les causes environnementales de l’apparition des virus et sur leurs conséquences sur les sociétés.",https://drive.google.com/file/d/1fvAZkbfSi1TBWEXnnH6cwkXZy_wm971Y/view?usp=sharing,,Qu'est-ce qu'une zoonose ?,une maladie franchissant la barrière animal  homme,le bruit de fond d'un zoo,une épidémie animale,"Du grec zôon, « animal » et nósos, « maladie », une zoonose est une maladie infectieuse qui se transmet des animaux aux hommes et inversement. La part croissante des zoonoses dans les maladies humaines émergentes, aujourd'hui établie à 75 %, en fait un enjeu de recherche particulièrement crucial."
02/09/2020 10:02:59,"Lyon, épicentre de la recherche en infectiologie",Musée des Confluences,Rhône,https://www.facebook.com/museedesconfluences,"th1,th4,th6",f1,p5,t4,"covid-19, épidémie, santé, virus, microbes",Curieux,03/10/2020,15:00:00,,"Au programme de la conférence live du Musée des Confluences,  l’épidémie de Covid-19 et les points forts de la recherche lyonnaise en infectiologie. Les intervenants évoqueront aussi les acteurs-clé du secteur et, surtout, tenteront de répondre à une question : quel est le diagnostic actuel sur les maladies infectieuses ? Rendez-vous le 1er octobre à 15h00 !",https://drive.google.com/file/d/1Amd2E9L1i7JXFHLrrvCoYOybsVB0pE2j/view?usp=sharing,,"Le concept « One Health », késaco ?","Une approche des politiques de santé (OMS, OIE, FAO) pour mieux tenir compte des liens et interdépendances entre santé humaine, santé animale et santé des écosystèmes","Une nouvelle démarche de l’OMS pour développer les mêmes médicaments, les mêmes vaccins et les mêmes traitements pour toutes les régions du globe","Le concept selon lequel les traitements doivent être déployés également à tous les âges de la vie, du nourrisson au 4e âge. Seules les doses varient.","Covid-19, Ebola, H5N1, SRAS, VIH, ou Zika sont entrés en contact avec l’humain du fait d’atteintes à l’environnement. Les santés humaine et animale sont interdépendantes et liées à la santé des écosystèmes dans lesquels elles coexistent."
